 2023-01-02_20:26:48 ;   6 
 2023-01-03_00:41:35 ;   837 
 2023-01-03_00:43:29 ;   99 
 2023-01-03_00:45:27 ;   90 
 2023-01-03_00:46:18 ;   48 
 2023-01-03_00:50:34 ;   186 
 2023-01-03_00:54:56 ;   207 
 2023-01-03_00:58:15 ;   144 
 2023-01-03_01:00:37 ;   105 
 2023-01-03_01:09:53 ;   282 
 2023-01-03_01:11:15 ;   72 
 2023-01-03_01:13:04 ;   88 
 2023-01-03_01:17:59 ;   229 
 2023-01-03_01:21:20 ;   153 
 2023-01-03_04:00:20 ;   3 
 2023-01-03_04:00:23 ;   3 
 2023-01-03_04:00:26 ;   3 
 2023-01-03_04:00:29 ;   3 
 2023-01-03_04:00:32 ;   3 
 2023-01-03_04:00:36 ;   3 
 2023-01-03_04:00:39 ;   3 
 2023-01-03_04:00:42 ;   3 
 2023-01-03_04:00:45 ;   3 
 2023-01-03_04:00:48 ;   3 
 2023-01-03_04:00:52 ;   4 
 2023-01-03_04:00:55 ;   3 
 2023-01-03_04:00:58 ;   3 
 2023-01-03_04:01:01 ;   3 
 2023-01-03_04:01:04 ;   3 
 2023-01-03_04:01:08 ;   4 
 2023-01-03_04:01:11 ;   3 
 2023-01-03_04:01:14 ;   3 
 2023-01-03_04:01:17 ;   3 
 2023-01-03_04:01:20 ;   3 
 2023-01-03_04:01:24 ;   3 
 2023-01-03_04:01:27 ;   3 
 2023-01-03_04:01:30 ;   3 
 2023-01-03_04:01:33 ;   3 
 2023-01-03_04:01:36 ;   3 
 2023-01-03_04:01:40 ;   4 
 2023-01-03_04:01:43 ;   3 
 2023-01-03_20:22:46 ;   6 
 2023-01-03_22:40:50 ;   88 
 2023-01-03_22:42:35 ;   84 
 2023-01-03_22:43:30 ;   51 
 2023-01-03_22:45:58 ;   127 
 2023-01-03_22:49:26 ;   172 
 2023-01-03_22:57:57 ;   379 
 2023-01-03_23:06:26 ;   391 
 2023-01-03_23:08:29 ;   99 
 2023-01-04_04:00:21 ;   3 
 2023-01-04_04:00:24 ;   3 
 2023-01-04_04:00:27 ;   3 
 2023-01-04_04:00:31 ;   3 
 2023-01-04_04:00:34 ;   3 
 2023-01-04_04:00:37 ;   3 
 2023-01-04_04:00:40 ;   3 
 2023-01-04_04:00:43 ;   3 
 2023-01-04_04:00:47 ;   4 
 2023-01-04_04:00:50 ;   3 
 2023-01-04_04:00:53 ;   3 
 2023-01-04_04:00:56 ;   3 
 2023-01-04_04:00:59 ;   3 
 2023-01-04_04:01:02 ;   3 
